material,normalized_material,industry,region,grade,confidence,season,wbs_id,acceptance_stage_prediction_accuracy,acceptance_duration_mape,dependencies,wbs_stage_key,task_id,task_name,stage,stage_name,dur_optimistic_hours,dur_most_likely_hours,dur_pessimistic_hours,dur_expected_hours,planned_quantity,actual_quantity,quantity_variance,planned_rate,actual_rate,rate_variance,planned_cost,actual_cost,cost_variance,material_issued_qty,material_consumed_qty,material_returned_qty,material_wastage_qty,planned_start_date,planned_end_date,executed_start_date,executed_end_date,planned_labor_hours,actual_labor_hours,planned_labor_cost,labor_cost_actual,crew_size,machinery_used,weather_condition,site_condition,dpr_date,daily_progress,ncr_count,rework_quantity,rework_cost,deviation_reason
Sump internal wall brushing and chemical cleaning for algae removal,sump internal wall brushing and chemical cleaning for algae removal,Tank Cleaning,central,B,0.9,normal,6b7facfc-5ef9-415b-bc88-abd6a7b8e83c,96.14%,12.10%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Billing,BI01,Final Billing,5,Billing,1.88,2.56,3.3,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL01,Routing Finalization And Layout,1,Planning,6.58,7.53,7.51,7.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL02,Material Takeoff And Planning,1,Planning,7.54,6.52,7.5,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR01,Pipe And Fitting Procurement,2,Procurement,11.76,11.74,11.62,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR02,Valve And Accessory Procurement,2,Procurement,11.17,12.65,12.49,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX01,Pipe Cutting,3,Execution,14.47,16.81,17.21,18.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX02,Pipe Installation,3,Execution,12.43,17.85,17.46,18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX03,Valve Fitting,3,Execution,14.13,18.14,18.68,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX04,Pipe Cutting And Threading,3,Execution,12.82,16.8,17.59,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX05,Valve And Fixture Mounting,3,Execution,14.34,18.31,17.11,18.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",QC,QC01,Pressure Testing,4,QC,12.99,16.97,19.1,18.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing CPVC pipeline 20mm including fittings and clamps for water supply,providing and fixing cpvc pipeline 20mm including fittings and clamps for water supply,Plumbing,central,B,0.9,normal,8957dfcf-57d6-4686-a62e-3c862099d3ea,96.11%,11.98%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Billing,BI01,Final Billing,5,Billing,5.39,5.34,5.31,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL01,Routing Finalization And Layout,1,Planning,6.74,7.44,7.42,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL02,Material Takeoff And Planning,1,Planning,6.81,7.36,6.53,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR01,Pipe And Fitting Procurement,2,Procurement,11.8,12.61,12.55,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Procurement,PR02,Valve And Accessory Procurement,2,Procurement,12.77,12.72,12.64,11.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX01,Pipe Cutting,3,Execution,13.98,17.17,16.74,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX02,Pipe Installation,3,Execution,13.87,18.13,17.78,17.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX03,Valve Fitting,3,Execution,12.7,17.54,17.7,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX04,Pipe Cutting And Threading,3,Execution,13.58,18.49,18.02,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Execution,EX05,Valve And Fixture Mounting,3,Execution,14.05,18.7,17.3,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",QC,QC01,Pressure Testing,4,QC,13.37,18.22,19.16,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Installation of GI pipeline 25mm heavy duty for external plumbing including threading,installation of gi pipeline 25mm heavy duty for external plumbing including threading,Plumbing,central,B,0.9,normal,46c1affc-01ca-46e6-b7b9-6e01ada23acc,97.68%,10.52%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""PR02"", ""type"": ""FS""}, {""from"": ""PR02"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Billing,BI01,Final Billing,5,Billing,5.25,4.86,5,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providing and fixing PVC rainwater downpipe 110mm with clamps and shoes,providing and fixing pvc rainwater downpipe 110mm with clamps and shoes,Plumbing,central,B,0.9,normal,e284f1b1-dd89-482c-a168-df97beef93dd,97.63%,9.93%,"[{""from"": ""PL01"", ""to"": ""PL02"", ""type"": ""FS""}, {""from"": ""PL02"", ""to"": ""PL03"", ""type"": ""FS""}, {""from"": ""PL03"", ""to"": ""PR01"", ""type"": ""FS""}, {""from"": ""PR01"", ""to"": ""EX01"", ""type"": ""FS""}, {""from"": ""EX01"", ""to"": ""EX02"", ""type"": ""FS""}, {""from"": ""EX02"", ""to"": ""EX03"", ""type"": ""FS""}, {""from"": ""EX03"", ""to"": ""EX04"", ""type"": ""FS""}, {""from"": ""EX04"", ""to"": ""EX05"", ""type"": ""FS""}, {""from"": ""EX05"", ""to"": ""EX06"", ""type"": ""FS""}, {""from"": ""EX06"", ""to"": ""QC01"", ""type"": ""FS""}, {""from"": ""QC01"", ""to"": ""BI01"", ""type"": ""FS""}]",Planning,PL01,Layout Marking,1,Planning,7.15,6.86,6.75,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
